PROGRAMNAME	PROGRAMURL	CATALOGNAME	LASTUPDATED	NAME	KEYWORDS	DESCRIPTION	SKU	MANUFACTURER	MANUFACTURERID	UPC	ISBN	CURRENCY	SALEPRICE	PRICE	RETAILPRICE	FROMPRICE	BUYURL	IMPRESSIONURL	IMAGEURL	ADVERTISERCATEGORY	THIRDPARTYID	THIRDPARTYCATEGORY	AUTHOR	ARTIST	TITLE	PUBLISHER	LABEL	FORMAT	SPECIAL	GIFT	PROMOTIONALTEXT	STARTDATE	ENDDATE	OFFLINE	ONLINE	INSTOCK	CONDITION	WARRANTY	STANDARDSHIPPINGCOST
OASAP	http://www.oasap.com/	OASAP Product Catalog	2016-06-22 12:15:38.587	Elegant  Chiffon Long Skirt    Multi Color	pleated skirt,chiffon skirt,fashion skirt,nice skirt	the skirt has been crafted in chiffon, featuring an elastic waistband, sofely pleated skirt, lined, in a regular fit.	OP28271	OASAP	OASAP			USD	22.99	34.99	34.99	no	http://www.tkqlhce.com/click-7893798-11634729?url=http%3A%2F%2Fwww.oasap.com%2Fskirts%2F28271-elegant-wholecolored-pleated-chiffon-skirt.html	http://www.awltovhc.com/image-7893798-11634729	http://image4.oasap.com/o_img/2013/04/09/28271-161755-home/Elegant-Wholecolored-Pleated-Chiffon-Skirt.jpg	Skirts	Clothing	Clothing								yes	Free shipping worldwide	2016-06-22 00:00:00.0	2016-08-22 12:00:00.0	yes	yes	yes	new		
OASAP	http://www.oasap.com/	OASAP Product Catalog	2016-06-22 12:15:38.588	Plaid Pleated High Waist Skirt	plaid skirt,pleated skirt,mini skirt,high waist skirt	the skirt featuring plaid graphic. pleated design. high waist. lace bottom. side zip closure.	OP33629	OASAP	OASAP			USD	23.99	34.99	34.99	no	http://www.anrdoezrs.net/click-7893798-11634729?url=http%3A%2F%2Fwww.oasap.com%2Fskirts%2F33629-plaid-pleated-high-waist-skirt.html	http://www.awltovhc.com/image-7893798-11634729	http://image5.oasap.com/o_img/2013/09/15/33629-192824-home/plaid-pleated-high-waist-skirt.jpg	Skirts	Clothing	Clothing								yes	Free shipping worldwide	2016-06-22 00:00:00.0	2016-08-22 12:00:00.0	yes	yes	yes	new		
OASAP	http://www.oasap.com/	OASAP Product Catalog	2016-06-22 12:15:38.588	Lovely Floral Print High-Low Dress	floral print dress,print dress,summer dress,round neck mini dress,slim fit dress,stylish dress,mini dress,lovely dress,cute dress,sweet dress,sleeveless dress,high-low dress	the dress featuring floral print. round neckline. sleeveless. elastic waist. high- low silhouette.	OP58355	OASAP	OASAP			USD	24.99	24.99	24.99	no	http://www.tkqlhce.com/click-7893798-11634729?url=http%3A%2F%2Fwww.oasap.com%2Fday%2F58355-lovely-floral-print-high-low-dress.html	http://www.awltovhc.com/image-7893798-11634729	http://image2.oasap.com/o_img/2015/07/02/58355-431621-home/lovely-floral-print-high-low-dress.jpg	Day	Dresses	Dresses								yes	Free shipping worldwide	2016-06-22 00:00:00.0	2016-08-22 12:00:00.0	yes	yes	yes	new		
OASAP	http://www.oasap.com/	OASAP Product Catalog	2016-06-22 12:15:38.589	Hot Deep V Floral Print Asymmetric Rayon Romper	floral print rompers,ladies rompers,cute rompers,chic rompers,charming rompers,good-looking rompers,fancy rompers,stylish rompers	The romper is made from rayon with deep V neckline, floral print, asymmetric hem, zip back.	OP64127	OASAP	OASAP			USD	20.99	34.99	34.99	no	http://www.tkqlhce.com/click-7893798-11634729?url=http%3A%2F%2Fwww.oasap.com%2Fjumpsuits-playsuits%2F64127-hot-deep-v-floral-print-asymmetric-rayon-romper.html	http://www.awltovhc.com/image-7893798-11634729	http://image2.oasap.com/o_img/2015/12/19/64127-525763-home/hot-deep-v-floral-print-asymmetric-rayon-romper.jpg	Jumpsuits & Rompers	Clothing	Clothing								yes	Free shipping worldwide	2016-06-22 00:00:00.0	2016-08-22 12:00:00.0	yes	yes	yes	new		
OASAP	http://www.oasap.com/	OASAP Product Catalog	2016-06-22 12:15:38.589	Alien Print Short Sleeve Loose Fit Knit Tee	round neck tee,woman tee,brief tee,fashion tee,casual tee,short sleeve tee,alien print tee,graphic tees,printed tees	The tee made from cotton blend with round neck, short sleeve, alien graphic and loose fit design.	OP64818	OASAP	OASAP			USD	12.99	19.99	19.99	no	http://www.jdoqocy.com/click-7893798-11634729?url=http%3A%2F%2Fwww.oasap.com%2Ftanks%2F64818-alien-print-short-sleeve-loose-fit-knit-tee.html	http://www.awltovhc.com/image-7893798-11634729	http://image10.oasap.com/o_img/2016/02/26/64818-535475-home/alien-print-short-sleeve-loose-fit-knit-tee.jpg	Tees	Tees & Tanks	Tees & Tanks								yes	Free shipping worldwide	2016-06-22 00:00:00.0	2016-08-22 12:00:00.0	yes	yes	yes	new		
OASAP	http://www.oasap.com/	OASAP Product Catalog	2016-06-22 12:15:38.589	Fashion Lace-up Front Spaghetti Strap Slim Fit Crop Top	fashion crop top,graphic crop top,chic crop top,sleeveless crop top,solid color crop top,crop top	The crop top is featuring solid color, lace-up front, spaghetti strap, slim fit design.	OP65237	OASAP	OASAP			USD	12.99	19.99	19.99	no	http://www.tkqlhce.com/click-7893798-11634729?url=http%3A%2F%2Fwww.oasap.com%2Ftees%2F65237-fashion-lace-up-front-spaghetti-strap-slim-fit-crop-top.html	http://www.awltovhc.com/image-7893798-11634729	http://image9.oasap.com/o_img/2016/03/17/65237-542043-home/fashion-lace-up-front-spaghetti-strap-slim-fit-crop-top.jpg	Crop-tops&Bralets	Clothing	Clothing								yes	Free shipping worldwide	2016-06-22 00:00:00.0	2016-08-22 12:00:00.0	yes	yes	yes	new		
OASAP	http://www.oasap.com/	OASAP Product Catalog	2016-06-22 12:15:38.59	Boho Floral Print Deep V Half Sleeve Loose Fit Romper	ladies rompers,chic rompers,good-looking rompers,fancy rompers,floral print rompers,	the romper is featuring floral print, deep v, half sleeve, loose fit design.	OP66195	OASAP	OASAP			USD	21.99	34.99	34.99	no	http://www.kqzyfj.com/click-7893798-11634729?url=http%3A%2F%2Fwww.oasap.com%2Fjumpsuits-playsuits%2F66195-boho-floral-print-deep-v-half-sleeve-loose-fit-romper.html	http://www.awltovhc.com/image-7893798-11634729	http://image9.oasap.com/o_img/2016/04/29/66195-555559-home/boho-floral-print-deep-v-half-sleeve-loose-fit-romper.jpg	Jumpsuits & Rompers	Clothing	Clothing								yes	Free shipping worldwide	2016-06-22 00:00:00.0	2016-08-22 12:00:00.0	yes	yes	yes	new		
OASAP	http://www.oasap.com/	OASAP Product Catalog	2016-06-22 12:15:38.59	Women's Fashion V-Neck Sleeveless Pullover Bodycon Pencil Dress	solid dresses,summer dresses,sleeveless dresses,fashion dresses,pullover dresses,knee length dresses,cocktail dresses,party dresses	The dress is featuring v neck, pullover styling, sleeveless, solid color, knee length and bodycon fit.	OP66653	OASAP	OASAP			USD	22.99	39.99	39.99	no	http://www.anrdoezrs.net/click-7893798-11634729?url=http%3A%2F%2Fwww.oasap.com%2Fcocktail-dresses%2F66653-women-s-fashion-v-neck-sleeveless-pullover-bodycon-pencil-dress.html	http://www.awltovhc.com/image-7893798-11634729	http://image8.oasap.com/o_img/2016/05/12/66653-561503-home/women-s-fashion-v-neck-sleeveless-pullover-bodycon-pencil-dress.jpg	Cocktail	Dresses	Dresses								yes	Free shipping worldwide	2016-06-22 00:00:00.0	2016-08-22 12:00:00.0	yes	yes	yes	new		
OASAP	http://www.oasap.com/	OASAP Product Catalog	2016-06-22 12:15:38.591	Halter Neckline Floral Print Blue Romper	blue rompers,floral rompers,cute rompers	rompers are one of our most-loved styles by far,especially when they are as pretty as this one. with a floral print, this halter neckline piece has a striking look,back cutout and back hidden zip closure.	OP56009	OASAP	OASAP			USD	18.99	24.99	24.99	no	http://www.kqzyfj.com/click-7893798-11634729?url=http%3A%2F%2Fwww.oasap.com%2Fjumpsuits-playsuits%2F56009-halter-neckline-floral-print-blue-romper.html	http://www.awltovhc.com/image-7893798-11634729	http://image9.oasap.com/o_img/2015/04/18/56009-397153-home/halter-neckline-floral-print-blue-romper.jpg	Jumpsuits & Rompers	Clothing	Clothing								yes	Free shipping worldwide	2016-06-22 00:00:00.0	2016-08-22 12:00:00.0	yes	yes	yes	new		
OASAP	http://www.oasap.com/	OASAP Product Catalog	2016-06-22 12:15:38.591	Peter Pan Collar Bird-Print Top	peter pan collar top,bird-print top,pastel tee,sleeveless tee,graphic tee,printed tee,coral tee,azure tee,light yellow tee,chiffon blouse	the top featuring brid pattern. peter pan collar. sleeveless. perfect with shorts or blue jeans.	OP59465	OASAP	OASAP			USD	9.99	14.99	14.99	no	http://www.dpbolvw.net/click-7893798-11634729?url=http%3A%2F%2Fwww.oasap.com%2Fcollared-shirts%2F59465-peter-pan-collar-bird-print-top.html	http://www.awltovhc.com/image-7893798-11634729	http://image5.oasap.com/o_img/2015/08/08/59465-450499-home/peter-pan-collar-bird-print-top.jpg	Collared Shirts	Blouses/Shirts	Blouses/Shirts								yes	Free shipping worldwide	2016-06-22 00:00:00.0	2016-08-22 12:00:00.0	yes	yes	yes	new		
